review_text,rating,date,bank,source
"I have revolut for almost 10years and it was great until last week when I tried to transfer money and they just froze my account just because. It was supposed to be a temporary thing for a couple hours which then suddenly turned to potentially 10days, which is insane. So that left me stranded with no money in a foreign country. AVOID until they will fully transfer to a proper bank and will have actual people you can contact via phone. As for now you can complain to FOS as per UK regulations.",1,2026-03-28 08:09:16,Revolut,google_play
good,4,2026-03-28 08:06:37,Revolut,google_play
Simply Brilliant! Simply Quick! Simply Revolut!!!,5,2026-03-28 07:01:03,Revolut,google_play
good,5,2026-03-28 06:53:23,Revolut,google_play
doesn't officially support an Android-based os,1,2026-03-28 06:47:08,Revolut,google_play
lovely,5,2026-03-28 06:20:47,Revolut,google_play
Haven't ordered a card but love the apps UI and the fa t I can create a virtual card on the fly and use it on my Google wallet so effortlessly,5,2026-03-28 06:19:27,Revolut,google_play
"quick banking, no fuss",5,2026-03-28 06:13:21,Revolut,google_play
Excellent financial management tool. Love the instant spending notifications and the ability to hold multiple currencies.,5,2026-03-28 06:00:30,Revolut,google_play
I can't log in on my new phone. To take a selfie I have to stand far further away than arms length to fit my face in the frame. Far longer than arms length for the ID document so it's really hard not to take a blurry photo and if I get that far the nfc scan of my passport always fails.,1,2026-03-28 05:43:50,Revolut,google_play
battery hog even after I restricted background usage.,1,2026-03-28 05:38:59,Revolut,google_play
"Great, reliable over the years, just Total Wealth graph doesnt correspond to reality.",4,2026-03-28 05:28:44,Revolut,google_play
perfect for everyday and travel!!,5,2026-03-28 05:23:11,Revolut,google_play
Still the best of its kind,5,2026-03-28 05:10:09,Revolut,google_play
does what it promises and pretty well,5,2026-03-28 05:06:49,Revolut,google_play
"Hi,Alles O.K Danke Revolut. PEARSON STEPHEN",5,2026-03-28 04:39:38,Revolut,google_play
cool app,5,2026-03-28 04:23:43,Revolut,google_play
the currency switch very useful,5,2026-03-28 04:08:30,Revolut,google_play
absolute satisfaction achieved.,5,2026-03-28 04:03:42,Revolut,google_play
perfect for me !,5,2026-03-28 03:58:43,Revolut,google_play
"BEWARE Scammers ""Lunicapital"" use this app to steal money from your account. Revolut then fail to return your stolen money.",1,2026-03-28 03:18:45,Revolut,google_play
Just so easy to use anywhere,5,2026-03-28 02:51:38,Revolut,google_play
Easy to use and super handy!,5,2026-03-28 02:50:16,Revolut,google_play
easy to use,4,2026-03-28 02:42:03,Revolut,google_play
very understanding and easy accessibility,5,2026-03-28 02:40:13,Revolut,google_play
Must have app when going aboard,5,2026-03-28 02:28:41,Revolut,google_play
Modern banking app with budgeting tools and international spending features.,5,2026-03-28 02:18:31,Revolut,google_play
great app,5,2026-03-28 02:13:45,Revolut,google_play
OK.,5,2026-03-28 01:46:07,Revolut,google_play
fast to send money,5,2026-03-28 01:28:10,Revolut,google_play
"Complete joke of a dispute process. Revolut issued a provisional refund for a defective product, only to reverse it weeks later because the merchant provided a 'delivery receipt.' ​A receipt doesn't prove an item isn't defective. They completely ignored my photo evidence and sided with the merchant on a total technicality. Taking this to the local Financial Ombudsman. Avoid for anything important. They do not protect consumers.",1,2026-03-28 00:48:15,Revolut,google_play
super,5,2026-03-28 00:45:23,Revolut,google_play
very good,5,2026-03-27 23:54:15,Revolut,google_play
"Convenient money changing when travelling. Better than looking for a money changer, all done on the phone!",5,2026-03-27 23:50:51,Revolut,google_play
"hassle free, I like it",5,2026-03-27 23:45:36,Revolut,google_play
really good bank account to have,5,2026-03-27 23:04:34,Revolut,google_play
very ussusefull i like it,5,2026-03-27 22:53:24,Revolut,google_play
A good app to track money & expenses,5,2026-03-27 22:50:02,Revolut,google_play
"i've been using this apps daily for the past three months and it has completely streamlined my workflow.the interface is clean,intuitive and beginner friendly. i especially love the reminders and customiztion features. it rarely crashes and upadates keep improving performance. highly recommended for anyone looking to stay organized",5,2026-03-27 21:34:40,Revolut,google_play
Modern banking app with great features. Easy to manage money and track spending.,5,2026-03-27 21:04:01,Revolut,google_play
I would like to say thank you for the ability to be part of this wonderful facility that simplify a Positive (Creation) Keep it up with the good positive work.,5,2026-03-27 20:36:09,Revolut,google_play
"best European bank for now, like in France it's much better than bnp or credit agricole",5,2026-03-27 20:29:35,Revolut,google_play
💖💖💖,5,2026-03-27 20:06:56,Revolut,google_play
"Quick, efficient, safe and reliable",5,2026-03-27 19:22:19,Revolut,google_play
it was good but i can not open jy app,5,2026-03-27 18:42:10,Revolut,google_play
Great service. App so easy to use. Great for instant transfers to other Revolut users. I would recommend this app,5,2026-03-27 18:28:23,Revolut,google_play
Great app. Just wish for a way to link multiple cards to one vault.,4,2026-03-27 18:27:40,Revolut,google_play
very convenient interface. easy to use UI,5,2026-03-27 18:08:42,Revolut,google_play
it's a great and useful card my only gripe is they control where you withdraw your money at their designated ATMs for that I give them four stars,4,2026-03-27 18:07:24,Revolut,google_play
on the website it says no ssn needed and right as I started i needed one and I just need the app to transfer money off a target gift card but also if anyone has any advice please lmk.,1,2026-03-27 17:54:09,Revolut,google_play
works well for me,5,2026-03-27 17:47:25,Revolut,google_play
Absolutely excellent,5,2026-03-28 19:31:54,Wise,google_play
best choice,5,2026-03-28 19:08:57,Wise,google_play
"Easy, cheap, reliable",5,2026-03-28 18:34:26,Wise,google_play
very useful,5,2026-03-28 18:11:41,Wise,google_play
good service,4,2026-03-28 18:05:53,Wise,google_play
"muy feliz de ser parte de este banco, es muy eficiente y me a facilitado la vida👏🏾👏🏾",5,2026-03-28 17:58:09,Wise,google_play
the initial set up was frustrating because of the time delay. I should have been patienced. after using it the second time I am very happy with the app,5,2026-03-28 17:51:48,Wise,google_play
"No clear assistance, useless information, support doesn't know how to answer your questions, be care full depends of them your transfer could took more than 7 days and they dont know why.",1,2026-03-28 17:31:24,Wise,google_play
The new layout is not looking good. There is so much White Space in cards. Did you get a vibe coder do it?,5,2026-03-28 17:13:57,Wise,google_play
"A GUY CALLED Paul KARLSSON Phoned Me To Ask Me If I Invest £200 In One Month My Money Will Be £30,000 A Month This Man Has Conned Me Out Of £200 My Wise Balance Is Just £11,33p?The Police & Action Fraud Know About This Conman Paul AL KARLSSON He Talked Me Throught To Set Up My Wise Fraud Account,He Even Set Up My Password But He Changed It So I Could Not See My Investments The Money I Will Be Making From My £200 He Lied To Me About I Will Become A Very Rich I Want Wise To Refund Me My £200 ASAP",1,2026-03-28 16:40:00,Wise,google_play
"my money is stuck, won't send won't refund. Wise team have done terribly and have neglected me completely. it's been almost 1 year. over £100 in the air.",1,2026-03-28 15:21:34,Wise,google_play
There are many steps to verify and so much personal information uploaded. I want to delete my account and it is not being allowed. There were no transactions because it was so frustrating to set up just one transfer. A ridiculous process. The Wide rep told me that Wise retains all of your personal information for 10 years!! Wise should state this 10 year retention upfront. The Attorney General's office needs to be involved with these deceptive business practices.,1,2026-03-28 14:28:45,Wise,google_play
smooth i hope this is safe apps.,5,2026-03-28 14:07:12,Wise,google_play
good service,5,2026-03-28 14:06:07,Wise,google_play
very good services keep on like that,5,2026-03-28 12:46:17,Wise,google_play
linking was painful,2,2026-03-28 12:45:17,Wise,google_play
so fast!,5,2026-03-28 12:37:45,Wise,google_play
not able to transfer money trying for many days,1,2026-03-28 11:50:03,Wise,google_play
Excellent service,5,2026-03-28 11:21:11,Wise,google_play
easy to use,5,2026-03-28 11:09:44,Wise,google_play
very helpful make life easier,5,2026-03-28 11:06:15,Wise,google_play
great banking facility. Good exchange rates. l highly recommend.,5,2026-03-28 11:01:31,Wise,google_play
great business tool,5,2026-03-28 10:41:55,Wise,google_play
Just Brilliant App:),5,2026-03-28 10:38:58,Wise,google_play
complicated,4,2026-03-28 09:57:58,Wise,google_play
Very good,5,2026-03-28 09:49:33,Wise,google_play
Very competitive exchange rate and 💯% transparency 👌✔️✅,5,2026-03-28 09:26:46,Wise,google_play
Good app,5,2026-03-28 08:56:03,Wise,google_play
"Restricted my acct as I made a larger than usual depositfor my holiday next week. I supplied details as requested immediately 2 weeks ago and despite constant emails it still hasn't been resolved! Absolute horrible customer service with the same auto replies, of 'we understand, thanks for your patience etc etc' We have escalated this yadda yadda. Yet here we are 2 weeks later and you are still holding MY money without letting me access it! It's paramount to theft. Resolve the issue!!",1,2026-03-28 07:58:17,Wise,google_play
great apl,5,2026-03-28 07:07:11,Wise,google_play
Smooth and easy transactions,5,2026-03-28 06:55:40,Wise,google_play
fast and cost effective,5,2026-03-28 06:50:01,Wise,google_play
fast and reliable transfer fee i have ever Experienced.,5,2026-03-28 06:35:08,Wise,google_play
"I use it for online shopping, and travelling. It is a ewallet",4,2026-03-28 06:31:55,Wise,google_play
Best bank ever!,5,2026-03-28 06:14:43,Wise,google_play
fast and safe,5,2026-03-28 06:01:02,Wise,google_play
customer service was useless could answer simple questions the notification you receive is different to what customer service say and notification will say 8 hours after that time I spoke to customer service and they say a transfer check they do can take 2 to 10 days so the app notification and there customer is out of sync lost trust very disappointing as the app dose look very professional but managed to set up a PayPal and transfer money much quicker,1,2026-03-28 06:00:33,Wise,google_play
"Excellent design, UI fridnely",5,2026-03-28 05:58:32,Wise,google_play
Im buying things from oversea people. Its easy for me to transfer money to them. Fast and much cheaper than normal bank for international transfer. Highly recommended for travelers.,5,2026-03-28 05:56:03,Wise,google_play
Very convenient.,5,2026-03-28 05:20:58,Wise,google_play
easy to use app - serves me well,5,2026-03-28 03:49:43,Wise,google_play
very happy the access and ease of use perfect for me,5,2026-03-28 03:46:13,Wise,google_play
Quick transaction,5,2026-03-28 03:41:13,Wise,google_play
"Facile à utiliser, Rapide.",5,2026-03-28 02:42:24,Wise,google_play
Easy to use and move money. Best app and service without the hastle of bank fees.,5,2026-03-28 02:38:11,Wise,google_play
this app is so easy to navigate and very pleasant as well! I'm very pleased 😄,5,2026-03-28 02:38:01,Wise,google_play
very Good,5,2026-03-28 02:35:58,Wise,google_play
exceptionally fast transfer,5,2026-03-28 02:35:52,Wise,google_play
Their system is so heavily ran by AI that we are faced with daily halts on transactions. As a business owner this service is completely impractical. Seek another service,1,2026-03-28 02:28:59,Wise,google_play
Excellent for international money transfers with low fees and real exchange rates.,5,2026-03-28 02:00:33,Wise,google_play
nice app I recommend,5,2026-03-28 01:59:51,Wise,google_play
Smooth Fintech App,4,2026-03-28 01:08:23,Wise,google_play
"Great conversation rates, and even better for acquiring foreign IBANs to avoid SWIFT before converting.",5,2026-03-28 01:07:06,Wise,google_play
good,5,2026-03-28 01:03:17,Wise,google_play
I love using Wise as it is so easy to transfer funds and use so many other denominations when travelling etc,5,2026-03-28 00:11:58,Wise,google_play
bloody awesome,5,2026-03-28 00:03:37,Wise,google_play
nice work,5,2026-03-27 23:59:27,Wise,google_play
Expensive transfers but fast if you pay with a debit card.,5,2026-03-27 22:54:52,Wise,google_play
Easy to use money converter & bank transcation,5,2026-03-27 22:46:58,Wise,google_play
Cannot fault this app.🤙,5,2026-03-27 21:49:19,Wise,google_play
User friendly. It's a FANTASTIC app for international money moving.,5,2026-03-27 21:12:28,Wise,google_play
"i've been using this apps daily for the past three months and it has completely streamlined my workflow.the interface is clean,intuitive and beginner friendly. i especially love the reminders and customiztion features. it rarely crashes and upadates keep improving performance. highly recommended for anyone looking to stay organized",5,2026-03-27 21:09:32,Wise,google_play
Fast and reliable for international transfers. Transparent fees and great exchange rates.,5,2026-03-27 21:01:01,Wise,google_play
Best app,5,2026-03-27 19:42:11,Wise,google_play
"I’ve found that the Wise app does exactly what I need it to do, and does it with very little fuss. The design is clear, the app is easy to use, and paying through it feels both convenient and secure. One feature I particularly appreciate is the option to hold in multiple currencies and earn a return on money held in the account while still keeping it instantly available for spending or transfers, which makes it far more useful than leaving cash sitting idle.",5,2026-03-27 19:39:30,Wise,google_play
Great Fully Sending Money 💰,5,2026-03-27 19:25:24,Wise,google_play
"Rapid transfer, excellent service!",5,2026-03-27 18:51:47,Wise,google_play
"Absolutely the best money transfer system available, seamless straightforward transfers, I've had no issues or concerns using this app.",5,2026-03-27 18:41:34,Wise,google_play
so far so good,5,2026-03-27 18:30:46,Wise,google_play
"excellent service, quick, great rates and reasonable charges",5,2026-03-27 18:21:11,Wise,google_play
"This app is incredible, great user interface and can send and receive money safely in seconds.",5,2026-03-27 17:57:51,Wise,google_play
Really good once set up cant beat price or speed highly reaccomend,5,2026-03-27 17:36:05,Wise,google_play
"I transfer wise money to my bank account. without any reason cancelled. and holded more than 12 day my money. called many many times help support also can't settle, have to wait until the wise money release back my wise account. oversea use need to be careful of the problems. 3 more days if I still don't receive my refund, I will put up News.",1,2026-03-27 17:28:40,Wise,google_play
good,5,2026-03-27 17:23:37,Wise,google_play
"Fast, Easy",5,2026-03-27 17:08:22,Wise,google_play
Easy and interest bearing !,5,2026-03-27 16:51:28,Wise,google_play
Una super forma para enviar dinero a europa.,5,2026-03-27 16:27:10,Wise,google_play
easy transfer and use,4,2026-03-27 16:24:59,Wise,google_play
Easy way to transfer money,5,2026-03-27 16:17:47,Wise,google_play
"I’ve been using for a while now, and it’s been a great experience. Transfers are fast, fees are transparent, and the exchange rates are much better than what I’ve seen elsewhere. The app is simple to use, and I always know exactly what I’m paying for. Definitely a reliable option for sending and receiving money internationally.",5,2026-03-27 16:10:41,Wise,google_play
"very good,",5,2026-03-27 15:54:33,Wise,google_play
I would leave no star if there was an option. What kind of verification takes over 30 business days? A payment from a client was automatically canceled by wise even after all documentation requested by wise from me was submitted. Worst experience ever and every escalation adds to the already many business days they've taken to verify. See no use for wise at this point.,1,2026-03-27 15:54:08,Wise,google_play
fast and secure,5,2026-03-27 15:45:37,Wise,google_play
just works.,5,2026-03-27 15:44:00,Wise,google_play
good,5,2026-03-27 15:16:47,Wise,google_play
"Wise used to be so good. However for last six months every time I try add money from my bank just takes ages, but at times it totally fails. very disappointing and sad. I actually likescWisexand even recommended to many others.",1,2026-03-27 15:13:52,Wise,google_play
good,5,2026-03-27 13:52:32,Wise,google_play
good,5,2026-03-27 11:04:23,Wise,google_play
good apps,5,2026-03-27 11:03:33,Wise,google_play
auto converted my receiving funds from foreign to local currency when I already have multiple foreign currency accounts in my account... instant money burned... I thought wise was supposed to help u save money not lose more 🤦 to devs: obviously it was sent to my wise ID not swift,1,2026-03-27 04:33:26,Wise,google_play
Update ur system please I put my address manually cz on your Map can't found. but system didn't accept so I can't register,1,2026-03-27 01:31:09,Wise,google_play
Very helpful and easy to use,5,2026-03-27 00:33:14,Wise,google_play
super easy to use,5,2026-03-26 23:25:53,Wise,google_play
Just started using it. Far cheaper than previous service I was using( no names i dont like to knock unless the service was really bad). Well impressed I have no problem giving it 5 stars.,5,2026-03-26 23:12:27,Wise,google_play
"Once you do it, it is easy and stress free!",5,2026-03-26 22:57:28,Wise,google_play
unbelievable,5,2026-03-26 22:48:18,Wise,google_play
Very quick service!!!,5,2026-03-26 21:38:55,Wise,google_play
simple,5,2026-03-26 21:16:45,Wise,google_play
"Fast, safe, and low-cost international transfers. Excellent!",5,2026-03-26 21:04:36,Wise,google_play
Useless.,1,2026-03-26 20:52:12,Wise,google_play
Always easy to order on ebay.,5,2026-03-28 19:54:27,PayPal,google_play
"it's a great app and financial wave/clearer roads paths to greater make waves. like the new updates, needs more of a way to upload documents.",4,2026-03-28 19:48:42,PayPal,google_play
goiod,5,2026-03-28 19:38:38,PayPal,google_play
"a word from experience says that you must stay alert to who knows information about your paypal account, particularly when this issue arises domestically; abnormal activity or appropriation triggers safeguard protocol and if time sees the phone number, credit or bank card change, it restricts your ability to properly 're-activate' in case of suspension for unrecognized usage & subsequently, the precautionary prevention may require a call to the help line; after three years mine has been restored",5,2026-03-28 19:33:53,PayPal,google_play
My favorite way to send cash. Never had an issue.,5,2026-03-28 19:23:40,PayPal,google_play
great reliable,5,2026-03-28 19:02:12,PayPal,google_play
garbage service,1,2026-03-28 18:43:59,PayPal,google_play
"I've had you guys since you were yay big 🤏🏼, and I'm still here. thank you for always having my back by protecting my information, working properly, not hitting us in our wallets, and for simply being the only folks I can really trust my stuff is safe. You guys are the best!",5,2026-03-28 18:37:04,PayPal,google_play
always fast,5,2026-03-28 17:58:46,PayPal,google_play
best ✅,5,2026-03-28 17:36:02,PayPal,google_play
very good,5,2026-03-28 17:24:43,PayPal,google_play
very useful.,5,2026-03-28 17:19:24,PayPal,google_play
"am telling you, this app is full of headache. it makes you think you're stupid",1,2026-03-28 17:17:20,PayPal,google_play
easy,5,2026-03-28 16:53:53,PayPal,google_play
so great and Easy too user,5,2026-03-28 16:40:17,PayPal,google_play
"after uploading update, stuck in update loop, whenever i try to open app goes to update page every time.",1,2026-03-28 16:28:31,PayPal,google_play
awesome 👍,5,2026-03-28 16:18:12,PayPal,google_play
Great app I use it for my everyday use,5,2026-03-28 15:58:47,PayPal,google_play
I have had nothen but trouble for over a yr now they cant verify me tge app keeps saying something went wrong. . its how I used to get paid i lost over 600 an my job caz of there mess ups. . ill never use this again . if I could give bad marks I would . ppl be ware u put money in one day I mite be done tbe sane,1,2026-03-28 15:52:12,PayPal,google_play
updated the latest version but still telling me to update and will not let me log in!,1,2026-03-28 15:47:16,PayPal,google_play
App keeps asking for camera access that it already has. Fix it.,3,2026-03-28 15:43:27,PayPal,google_play
WHY CAN I NOT WITHDRAW MY MONEY,1,2026-03-28 15:42:01,PayPal,google_play
very hard to add notes,3,2026-03-28 15:36:49,PayPal,google_play
"needs to be more considerable to its users and their needs, otherwise perfect!",4,2026-03-28 15:26:29,PayPal,google_play
"I hate PayPal! It's such a horrible service PLEASE DON'T USE IT! The amount of times it has charged me accidentally when I didn't check out is unacceptable, and IT JUST TOOK MONEY OUT OF MY ACCOUNT EVEN THOUGH THE ITEM IS OUT OF STOCK! PLEASE REFUND ME!!!",1,2026-03-28 15:26:00,PayPal,google_play
Super convenient. Math geeks changed how we live.,5,2026-03-28 15:09:56,PayPal,google_play
achha h,5,2026-03-28 15:01:49,PayPal,google_play
easy,5,2026-03-28 14:54:37,PayPal,google_play
horrible app I hate it,1,2026-03-28 14:49:20,PayPal,google_play
good,5,2026-03-28 14:45:51,PayPal,google_play
can't get my pay pal,1,2026-03-28 14:37:59,PayPal,google_play
"Hi, I am having trouble accessing my account. I have my email, but the verification code expires in just a few seconds, which is making it impossible for me to log in. I need help resetting my login verification method. can you change the verification code expiration? 5 second is not enough thank you",2,2026-03-28 13:30:00,PayPal,google_play
why i can't use this app to collect my money in games,1,2026-03-28 13:17:44,PayPal,google_play
slick.,5,2026-03-28 12:58:28,PayPal,google_play
"they happily let me get scammed and refused to help me, im never sending money through PayPal ever again. they're not to be trusted",1,2026-03-28 12:38:12,PayPal,google_play
"Not a good app. for signing you asked to get a code on email. I went to mail when came back on paypal to enter code it showed again sign in from start, and it happened continuously for sometime and then you permanently deactivated my account. whereas problem was from your app side.",1,2026-03-28 12:26:18,PayPal,google_play
works good. I recommend It,5,2026-03-28 12:24:00,PayPal,google_play
so easy,5,2026-03-28 12:13:13,PayPal,google_play
"This app is easy to use and not too intrusive. Whether using a pay pal balance, credit card, or transferring funds from a bank it keeps things very simple.",5,2026-03-28 12:12:22,PayPal,google_play
It sucks you can't take screenshots of ypur payment once it is sent!,3,2026-03-28 12:09:24,PayPal,google_play
it's great 👍😃,5,2026-03-28 12:06:22,PayPal,google_play
"Nice payment app service, easy to pay anytime, quick and efficient, great facility of credit card and checking/saving accounts with good rewards, thank you Paypal.",5,2026-03-28 12:04:33,PayPal,google_play
Been using it for years!,5,2026-03-28 12:03:46,PayPal,google_play
I love PayPal,5,2026-03-28 12:02:45,PayPal,google_play
wouldn't let me login and kept denying me access to my account good thing I didn't have money in there yet,1,2026-03-28 11:56:10,PayPal,google_play
"this is quite literally the most unintuitive and least convenient to use money managing app out there. when trying to move money to my own debit card it prompts me through 6 different windows, where other apps just have 2 button clicks. this is what happens when you outsource UI design and coding to people who clearly dont know what theyre doing",1,2026-03-28 11:54:15,PayPal,google_play
easy to use!,5,2026-03-28 11:39:36,PayPal,google_play
easy to use and safe.,5,2026-03-28 11:27:36,PayPal,google_play
"PayPal is easy to use,and fast ,I like using it,jim",4,2026-03-28 11:23:57,PayPal,google_play
fkn awesome and convenient,5,2026-03-28 11:21:44,PayPal,google_play
okay not just the app but the entirety of the PayPal service itself been with you all forever I love you all I endorse y'all freely I promote you all the time and I'm just saying PayPal let's be cool I will advertise like a boss if you guys send me like a PayPal kayak or raft and I'll hit the catwalk with it FR.,5,2026-03-28 11:20:50,PayPal,google_play
I have been using PayPal for years and have never had a problem.,5,2026-03-28 10:48:42,PayPal,google_play
banned my account for no reason and hold my money. I tried it cause I thought its hassle free despite the charge massive fees. never going to use it again nor recommed it to anybody. Ill just stick on direct bank to bank transfer than using this. utterly rediculous,1,2026-03-28 10:31:17,PayPal,google_play
"As soon as I deposited $100, they deactivated my account permanently. So how do I access my money now😭. Very frustrating",1,2026-03-28 10:17:11,PayPal,google_play
Quick and secure service.,5,2026-03-28 09:46:14,PayPal,google_play
good. some difficulties. with app,5,2026-03-28 09:38:38,PayPal,google_play
very. very very very very very very very good good good,5,2026-03-28 09:18:47,PayPal,google_play
quick efficient and easy,5,2026-03-28 09:16:30,PayPal,google_play
y am I battling to create a account,1,2026-03-28 08:59:28,PayPal,google_play
thanks play Store for this app,3,2026-03-28 08:35:12,PayPal,google_play
perfect,5,2026-03-28 08:31:41,PayPal,google_play
I find PayPal to be a very convenient platform to send and receive payments.,5,2026-03-28 08:27:43,PayPal,google_play
it stays long before opening abeg,1,2026-03-28 08:13:31,PayPal,google_play
easy to use,4,2026-03-28 07:54:01,PayPal,google_play
doesn't give privacy,1,2026-03-28 07:20:01,PayPal,google_play
My fiance uses it All the time.,5,2026-03-28 07:16:00,PayPal,google_play
very good,5,2026-03-28 07:05:39,PayPal,google_play
thank you PayPal,5,2026-03-28 06:47:45,PayPal,google_play
right now I am not access to my PayPal account but thank you for get me the link,5,2026-03-28 06:32:31,PayPal,google_play
trying to get my head round the corner to gets paid for the corner shop,5,2026-03-28 06:25:14,PayPal,google_play
fast and reliable,5,2026-03-28 06:00:28,PayPal,google_play
Secure and convenient. I have used it for years for online shopping and transferring money to friends too!,5,2026-03-28 05:57:31,PayPal,google_play
love,5,2026-03-28 05:43:42,PayPal,google_play
account frozen because i changed password,1,2026-03-28 05:42:46,PayPal,google_play
have been using it for many years and sending money to other countries working fine and quick never had any problems with PayPal amazing no major issues I have been sending my girlfriend from the Philippines and working quickly for her to get it amazing 😍,5,2026-03-28 05:41:27,PayPal,google_play
This account is very useful for example if I travel to USA I can use the bank without any problem,5,2026-03-28 05:26:21,PayPal,google_play
Password verification is trash. I have had to change my password 4 times in a row because this app will not keep my information saved for whatever reason and says to check info and try again.. I know my password but it will not let me into my account. I'm infuriated by this insufferable app password authentication.,1,2026-03-28 05:22:41,PayPal,google_play
excellent,5,2026-03-28 04:50:40,PayPal,google_play
